report_date,child_asin,ppc_product,buy_box_group,sessions_total,page_views_total,unit_session_percentage,units_ordered,ordered_product_sales,featured_offer_buy_box_percentage
2023-10-01,B0CAJNPELJ,0,Low Buy Box,3293,4480,0.09,3,112.08,21.46
2023-11-01,B0CAJNPELJ,0,High Buy Box,2091,2987,1.72,36,2107.22,19.97
2023-12-01,B0CAJNPELJ,0,Low Buy Box,1875,2070,0.37,7,171.27,30.92
2024-01-01,B0CAJNPELJ,0,Low Buy Box,661,733,3.93,26,1395.3,61.69
2022-04-01,B0QRB6AJR5,0,Low Buy Box,4189,5387,0.02,1,15.66,40.23
2022-05-01,B0QRB6AJR5,0,Low Buy Box,4640,5757,0.13,6,260.53,21.82
2022-06-01,B0QRB6AJR5,0,Low Buy Box,4046,4391,0.3,12,575.26,51.39
2022-07-01,B0QRB6AJR5,0,High Buy Box,263,334,5.32,14,640.16,52.21
2022-08-01,B0QRB6AJR5,0,Low Buy Box,87,91,57.47,50,1622.38,25.98
2022-09-01,B0QRB6AJR5,0,Low Buy Box,27,37,37.04,10,338.85,73.16
2022-10-01,B0QRB6AJR5,0,Low Buy Box,9528,10464,0.07,7,335.7,31.87
2022-11-01,B0QRB6AJR5,0,Low Buy Box,1494,2211,1.54,23,1153.86,86.07
2022-12-01,B0QRB6AJR5,0,High Buy Box,6974,9797,0.33,23,659.27,43.24
2023-01-01,B0QRB6AJR5,0,High Buy Box,7482,11067,0.4,30,893.33,30.12
2023-02-01,B0QRB6AJR5,0,Low Buy Box,527,739,5.12,27,632.08,27.23
2023-03-01,B0QRB6AJR5,0,Low Buy Box,2346,3564,0.38,9,210.83,90.89
2023-04-01,B0QRB6AJR5,0,Low Buy Box,1810,2032,0.99,18,544.82,29.91
2023-05-01,B0QRB6AJR5,0,High Buy Box,5757,7384,0.38,22,623.14,80.5
2023-06-01,B0QRB6AJR5,0,High Buy Box,1319,1620,1.06,14,207.69,33.31
2023-07-01,B0QRB6AJR5,0,Low Buy Box,13111,19747,0.31,40,1529.07,38.62
2023-08-01,B0QRB6AJR5,0,Low Buy Box,2039,2661,0.25,5,190.89,21.88
2023-09-01,B0QRB6AJR5,0,Low Buy Box,2450,3203,0.29,7,178.2,22.19
2023-10-01,B0QRB6AJR5,0,Low Buy Box,951,1377,0.32,3,96.8,76.09
2023-11-01,B0QRB6AJR5,0,Low Buy Box,623,927,4.98,31,1577.67,46.82
2023-12-01,B0QRB6AJR5,0,Low Buy Box,2567,3099,0.47,12,383.84,23.21
2024-01-01,B0QRB6AJR5,0,High Buy Box,199,285,4.52,9,224.72,85.76
2022-04-01,B0DDCDCV7S,1,Low Buy Box,1115,1202,0.18,2,115.13,35.96
2022-05-01,B0DDCDCV7S,1,High Buy Box,1999,2365,1.7,34,1985.43,34.58
2022-06-01,B0DDCDCV7S,1,High Buy Box,771,1113,1.04,8,212.54,45.03
2022-07-01,B0DDCDCV7S,1,Low Buy Box,978,1374,0.61,6,286.0,11.71
2022-08-01,B0DDCDCV7S,1,High Buy Box,128,193,24.22,31,1357.08,83.0
2022-09-01,B0DDCDCV7S,1,High Buy Box,1075,1341,2.51,27,1087.6,14.83
2022-10-01,B0DDCDCV7S,1,Low Buy Box,102,129,1.96,2,82.4,36.76
2022-11-01,B0DDCDCV7S,1,Low Buy Box,2335,2750,0.73,17,708.95,38.7
2022-12-01,B0DDCDCV7S,1,Low Buy Box,625,765,0.8,5,237.93,28.68
2023-01-01,B0DDCDCV7S,1,High Buy Box,490,531,8.37,41,2029.26,25.91
2023-02-01,B0DDCDCV7S,1,High Buy Box,640,724,6.41,41,1136.29,16.19
2023-03-01,B0DDCDCV7S,1,Low Buy Box,2637,3586,0.72,19,921.14,30.51
2023-04-01,B0DDCDCV7S,1,Low Buy Box,7287,8907,0.12,9,324.6,8.92
2023-05-01,B0DDCDCV7S,1,Low Buy Box,630,683,0.95,6,248.35,40.05
2023-06-01,B0DDCDCV7S,1,Low Buy Box,582,784,6.36,37,718.73,20.14
2023-07-01,B0DDCDCV7S,1,Low Buy Box,7210,8740,0.31,22,864.12,45.6
2023-08-01,B0DDCDCV7S,1,Low Buy Box,3733,4005,0.24,9,404.56,90.1
2023-09-01,B0DDCDCV7S,1,Low Buy Box,196,287,4.59,9,327.98,40.02
2023-10-01,B0DDCDCV7S,1,Low Buy Box,740,998,0.68,5,108.52,10.58
2023-11-01,B0DDCDCV7S,1,Low Buy Box,2315,2594,0.3,7,217.17,66.32
2023-12-01,B0DDCDCV7S,1,Low Buy Box,4648,5483,0.67,31,1369.03,24.77
2024-01-01,B0DDCDCV7S,1,Low Buy Box,4287,6551,0.63,27,1602.38,51.23
2022-04-01,B0S6DXWXP5,1,Low Buy Box,8043,10061,0.3,24,429.82,30.43
2022-05-01,B0S6DXWXP5,1,High Buy Box,8093,8944,0.17,14,826.16,60.57
2022-06-01,B0S6DXWXP5,1,High Buy Box,43,62,174.42,75,3276.21,35.05
2022-07-01,B0S6DXWXP5,1,Low Buy Box,1104,1385,1.9,21,717.01,67.94
2022-08-01,B0S6DXWXP5,1,Low Buy Box,3774,4305,0.0,0,0.0,13.81
2022-09-01,B0S6DXWXP5,1,High Buy Box,3469,4322,0.78,27,1498.61,94.29
2022-10-01,B0S6DXWXP5,1,Low Buy Box,4353,6479,0.02,1,32.41,67.6
2022-11-01,B0S6DXWXP5,1,Low Buy Box,8377,11774,0.37,31,543.12,52.59
2022-12-01,B0S6DXWXP5,1,Low Buy Box,717,822,2.93,21,314.31,26.88
2023-01-01,B0S6DXWXP5,1,Low Buy Box,1788,2553,1.06,19,412.28,6.92
2023-02-01,B0S6DXWXP5,1,Low Buy Box,2492,3324,0.6,15,714.57,31.91
2023-03-01,B0S6DXWXP5,1,Low Buy Box,2546,3378,0.63,16,798.81,59.69
2023-04-01,B0S6DXWXP5,1,Low Buy Box,2443,3755,0.16,4,119.6,60.32
2023-05-01,B0S6DXWXP5,1,Low Buy Box,499,677,0.6,3,83.86,48.23
2023-06-01,B0S6DXWXP5,1,Low Buy Box,1314,1916,3.27,43,1975.4,59.45
2023-07-01,B0S6DXWXP5,1,High Buy Box,1268,1638,1.97,25,1296.26,52.93
2023-08-01,B0S6DXWXP5,1,High Buy Box,652,798,0.15,1,38.96,16.23
2023-09-01,B0S6DXWXP5,1,Low Buy Box,1193,1367,1.76,21,502.37,34.94
2023-10-01,B0S6DXWXP5,1,Low Buy Box,326,438,3.99,13,557.0,70.44
2023-11-01,B0S6DXWXP5,1,Low Buy Box,728,931,3.3,24,921.75,1.4
2023-12-01,B0S6DXWXP5,1,Low Buy Box,3588,5308,0.7,25,604.82,62.28
2024-01-01,B0S6DXWXP5,1,Low Buy Box,268,332,1.49,4,105.79,58.44
2022-04-01,B0Z3DSDDXD,0,Low Buy Box,1864,2111,0.64,12,420.86,57.01
2022-05-01,B0Z3DSDDXD,0,Low Buy Box,2491,3812,2.05,51,2171.46,33.16
2022-06-01,B0Z3DSDDXD,0,High Buy Box,593,774,3.04,18,928.52,45.9
2022-07-01,B0Z3DSDDXD,0,High Buy Box,211,266,4.74,10,355.77,21.36
2022-08-01,B0Z3DSDDXD,0,Low Buy Box,680,1027,2.65,18,926.23,59.78
2022-09-01,B0Z3DSDDXD,0,High Buy Box,178,222,24.72,44,1389.05,23.14
2022-10-01,B0Z3DSDDXD,0,High Buy Box,2198,2948,0.18,4,179.68,78.07
2022-11-01,B0Z3DSDDXD,0,Low Buy Box,5390,7221,0.2,11,192.93,11.73
2022-12-01,B0Z3DSDDXD,0,Low Buy Box,78,112,70.51,55,1334.14,30.59
2023-01-01,B0Z3DSDDXD,0,Low Buy Box,2658,3287,1.35,36,1181.17,49.65
2023-02-01,B0Z3DSDDXD,0,Low Buy Box,412,543,3.64,15,443.28,44.86
2023-03-01,B0Z3DSDDXD,0,Low Buy Box,137,193,13.87,19,677.34,58.02
2023-04-01,B0Z3DSDDXD,0,High Buy Box,1167,1370,0.86,10,243.47,59.98
2023-05-01,B0Z3DSDDXD,0,Low Buy Box,3018,3836,0.73,22,382.46,33.13
2023-06-01,B0Z3DSDDXD,0,Low Buy Box,2409,2639,0.46,11,388.12,56.27
2023-07-01,B0Z3DSDDXD,0,Low Buy Box,3771,4499,0.27,10,237.72,41.2
2023-08-01,B0Z3DSDDXD,0,Low Buy Box,199,259,4.02,8,170.88,55.11
2023-09-01,B0Z3DSDDXD,0,Low Buy Box,1792,2071,0.39,7,259.62,33.77
2023-10-01,B0Z3DSDDXD,0,Low Buy Box,1213,1445,1.81,22,710.61,39.64
2023-11-01,B0Z3DSDDXD,0,Low Buy Box,5104,7545,0.84,43,2339.0,78.45
2023-12-01,B0Z3DSDDXD,0,Low Buy Box,5193,7579,0.48,25,761.65,38.31
2024-01-01,B0Z3DSDDXD,0,Low Buy Box,3722,5529,0.86,32,965.87,8.04
2022-04-01,B0KZZMTJXE,0,Low Buy Box,1033,1359,0.87,9,409.74,35.02
2022-05-01,B0KZZMTJXE,0,Low Buy Box,2490,3805,0.16,4,84.96,25.91
2022-06-01,B0KZZMTJXE,0,Low Buy Box,1892,2890,1.11,21,963.73,34.62
2022-07-01,B0KZZMTJXE,0,High Buy Box,541,603,0.92,5,153.6,44.05
2022-08-01,B0KZZMTJXE,0,Low Buy Box,1587,2379,1.51,24,1451.54,25.71
2022-09-01,B0KZZMTJXE,0,High Buy Box,2388,2823,0.34,8,197.0,53.72
2022-10-01,B0KZZMTJXE,0,Low Buy Box,3482,5289,0.34,12,190.81,64.22
2022-11-01,B0KZZMTJXE,0,Low Buy Box,2544,2745,0.2,5,178.19,46.46
2022-12-01,B0KZZMTJXE,0,Low Buy Box,638,869,6.58,42,1811.81,25.57
2023-01-01,B0KZZMTJXE,0,High Buy Box,2356,3102,0.51,12,250.96,45.05
2023-02-01,B0KZZMTJXE,0,Low Buy Box,210,287,17.62,37,2013.86,37.81
2023-03-01,B0KZZMTJXE,0,Low Buy Box,1053,1514,1.14,12,225.63,15.0
2023-04-01,B0KZZMTJXE,0,High Buy Box,1467,2225,0.07,1,14.84,63.73
2023-05-01,B0KZZMTJXE,0,Low Buy Box,2818,3441,0.53,15,541.69,48.19
2023-06-01,B0KZZMTJXE,0,Low Buy Box,5333,8045,0.17,9,304.6,37.48
2023-07-01,B0KZZMTJXE,0,Low Buy Box,225,339,2.67,6,121.26,54.86
2023-08-01,B0KZZMTJXE,0,High Buy Box,259,372,10.81,28,961.57,30.91
2023-09-01,B0KZZMTJXE,0,High Buy Box,1586,2058,0.38,6,339.12,27.91
2023-10-01,B0KZZMTJXE,0,Low Buy Box,4942,6725,0.24,12,493.27,32.21
2023-11-01,B0KZZMTJXE,0,Low Buy Box,1032,1244,0.78,8,295.84,17.67
2023-12-01,B0KZZMTJXE,0,Low Buy Box,3787,5728,0.55,21,414.51,29.41
2024-01-01,B0KZZMTJXE,0,Low Buy Box,555,818,1.44,8,257.32,33.13
2022-04-01,B0NZBSXV7V,0,Low Buy Box,277,302,4.69,13,418.76,52.87
2022-05-01,B0NZBSXV7V,0,High Buy Box,1833,2774,1.75,32,614.04,53.1
2022-06-01,B0NZBSXV7V,0,High Buy Box,10232,13092,0.1,10,330.37,16.23
2022-07-01,B0NZBSXV7V,0,High Buy Box,4699,6708,1.77,83,2187.37,76.61
2022-08-01,B0NZBSXV7V,0,Low Buy Box,368,507,3.53,13,620.07,33.77
2022-09-01,B0NZBSXV7V,0,Low Buy Box,2624,3950,0.23,6,300.01,12.37
2022-10-01,B0NZBSXV7V,0,Low Buy Box,4611,6208,0.52,24,1216.79,50.27
2022-11-01,B0NZBSXV7V,0,Low Buy Box,598,737,5.02,30,1432.29,54.26
2022-12-01,B0NZBSXV7V,0,Low Buy Box,4592,6198,0.22,10,574.29,27.92
2023-01-01,B0NZBSXV7V,0,Low Buy Box,172,252,26.74,46,2478.55,86.42
2023-02-01,B0NZBSXV7V,0,High Buy Box,162,227,21.6,35,570.84,51.8
2023-03-01,B0NZBSXV7V,0,Low Buy Box,277,374,7.94,22,734.82,71.74
2023-04-01,B0NZBSXV7V,0,High Buy Box,2079,2733,0.96,20,1065.46,69.9
2023-05-01,B0NZBSXV7V,0,Low Buy Box,673,997,5.5,37,1575.28,59.48
2023-06-01,B0NZBSXV7V,0,Low Buy Box,1822,2431,0.55,10,241.36,57.48
2023-07-01,B0NZBSXV7V,0,Low Buy Box,6115,8515,0.52,32,1605.81,63.68
2023-08-01,B0NZBSXV7V,0,Low Buy Box,1447,1893,1.45,21,1247.33,48.94
2023-09-01,B0NZBSXV7V,0,Low Buy Box,261,348,6.51,17,841.15,53.8
2023-10-01,B0NZBSXV7V,0,Low Buy Box,1914,2629,0.37,7,237.65,88.88
2023-11-01,B0NZBSXV7V,0,Low Buy Box,44,61,13.64,6,362.36,61.02
2023-12-01,B0NZBSXV7V,0,Low Buy Box,2297,3497,2.31,53,3016.46,48.2
2024-01-01,B0NZBSXV7V,0,Low Buy Box,1164,1238,0.77,9,314.64,40.53
2022-04-01,B02FT33BA9,0,High Buy Box,1358,1949,1.18,16,673.76,88.5
2022-05-01,B02FT33BA9,0,High Buy Box,2568,3506,0.74,19,755.47,15.91
2022-06-01,B02FT33BA9,0,High Buy Box,714,952,5.74,41,1240.56,84.7
2022-07-01,B02FT33BA9,0,Low Buy Box,623,664,2.73,17,837.5,29.06
2022-08-01,B02FT33BA9,0,Low Buy Box,232,309,2.16,5,202.91,65.48
2022-09-01,B02FT33BA9,0,High Buy Box,8301,10624,1.11,92,4495.18,52.38
2022-10-01,B02FT33BA9,0,Low Buy Box,2231,2372,1.43,32,1400.65,61.5
2022-11-01,B02FT33BA9,0,Low Buy Box,3648,5314,0.25,9,349.39,23.52
2022-12-01,B02FT33BA9,0,Low Buy Box,434,561,4.15,18,420.81,26.28
2023-01-01,B02FT33BA9,0,High Buy Box,642,709,0.16,1,17.39,49.15
2023-02-01,B02FT33BA9,0,High Buy Box,102,136,4.9,5,220.37,27.79
2023-03-01,B02FT33BA9,0,Low Buy Box,1480,1900,0.34,5,98.49,40.89
2023-04-01,B02FT33BA9,0,High Buy Box,3187,4260,0.19,6,162.9,26.79
2023-05-01,B02FT33BA9,0,High Buy Box,425,499,6.82,29,1522.69,27.17
2023-06-01,B02FT33BA9,0,Low Buy Box,678,924,0.74,5,85.66,29.44
2023-07-01,B02FT33BA9,0,Low Buy Box,1124,1397,1.42,16,895.95,41.82
2023-08-01,B02FT33BA9,0,Low Buy Box,140,215,28.57,40,1035.01,64.87
2023-09-01,B02FT33BA9,0,High Buy Box,1017,1525,3.24,33,690.26,49.36
2023-10-01,B02FT33BA9,0,High Buy Box,4050,6068,0.89,36,1910.6,46.92
2023-11-01,B02FT33BA9,0,Low Buy Box,669,860,0.15,1,43.15,56.67
2023-12-01,B02FT33BA9,0,Low Buy Box,1745,2135,0.46,8,316.19,31.21
2024-01-01,B02FT33BA9,0,Low Buy Box,10355,14103,0.02,2,59.8,44.63
2022-04-01,B0EQC54EVL,0,Low Buy Box,440,544,9.32,41,1317.01,25.88
2022-05-01,B0EQC54EVL,0,High Buy Box,2513,3055,1.15,29,906.38,25.59
2022-06-01,B0EQC54EVL,0,Low Buy Box,1823,2514,0.6,11,194.39,62.73
2022-07-01,B0EQC54EVL,0,High Buy Box,2610,2794,0.84,22,898.23,41.08
2022-08-01,B0EQC54EVL,0,Low Buy Box,2219,3245,0.23,5,143.81,47.08
2022-09-01,B0EQC54EVL,0,High Buy Box,529,584,2.46,13,193.25,34.31
2022-10-01,B0EQC54EVL,0,Low Buy Box,305,370,5.57,17,771.46,14.19
2022-11-01,B0EQC54EVL,0,Low Buy Box,2712,3349,1.07,29,836.25,81.87
2022-12-01,B0EQC54EVL,0,Low Buy Box,342,445,2.63,9,359.22,15.96
2023-01-01,B0EQC54EVL,0,Low Buy Box,584,767,0.17,1,58.16,42.77
2023-02-01,B0EQC54EVL,0,Low Buy Box,1869,2423,1.23,23,406.32,57.12
2023-03-01,B0EQC54EVL,0,High Buy Box,266,292,23.68,63,1179.48,26.97
2023-04-01,B0EQC54EVL,0,High Buy Box,695,818,5.32,37,1109.67,19.68
2023-05-01,B0EQC54EVL,0,Low Buy Box,1572,2041,1.08,17,1022.72,85.83
2023-06-01,B0EQC54EVL,0,High Buy Box,1988,2775,1.96,39,2197.57,61.04
2023-07-01,B0EQC54EVL,0,Low Buy Box,337,416,4.75,16,862.44,14.09
2023-08-01,B0EQC54EVL,0,Low Buy Box,2385,3136,1.22,29,1175.79,39.09
2023-09-01,B0EQC54EVL,0,High Buy Box,5500,7701,0.05,3,122.22,69.92
2023-10-01,B0EQC54EVL,0,High Buy Box,2096,2855,0.52,11,418.72,54.99
2023-11-01,B0EQC54EVL,0,Low Buy Box,395,445,1.27,5,112.18,33.07
2023-12-01,B0EQC54EVL,0,Low Buy Box,933,1337,0.86,8,265.39,58.67
2024-01-01,B0EQC54EVL,0,High Buy Box,721,835,2.91,21,654.3,9.99
2022-04-01,B0ZAG3X4EZ,0,High Buy Box,1909,2892,0.58,11,331.95,57.05
2022-05-01,B0ZAG3X4EZ,0,High Buy Box,3342,4387,0.21,7,213.34,39.0
2022-06-01,B0ZAG3X4EZ,0,High Buy Box,4417,5102,0.32,14,209.24,58.55
2022-07-01,B0ZAG3X4EZ,0,Low Buy Box,108,128,4.63,5,230.89,55.47
2022-08-01,B0ZAG3X4EZ,0,Low Buy Box,1608,2337,2.3,37,2017.82,36.67
2022-09-01,B0ZAG3X4EZ,0,Low Buy Box,3390,3955,0.32,11,362.79,30.54
2022-10-01,B0ZAG3X4EZ,0,Low Buy Box,316,337,29.43,93,1730.13,33.72
2022-11-01,B0ZAG3X4EZ,0,High Buy Box,7929,8440,0.16,13,381.09,64.48
2022-12-01,B0ZAG3X4EZ,0,High Buy Box,1466,1746,0.27,4,109.19,45.16
2023-01-01,B0ZAG3X4EZ,0,Low Buy Box,475,689,6.32,30,1641.39,51.62
2023-02-01,B0ZAG3X4EZ,0,Low Buy Box,253,287,9.88,25,815.32,30.46
2023-03-01,B0ZAG3X4EZ,0,Low Buy Box,290,402,12.76,37,1073.46,79.02
2023-04-01,B0ZAG3X4EZ,0,High Buy Box,2000,3048,2.6,52,2733.69,11.28
2023-05-01,B0ZAG3X4EZ,0,High Buy Box,2059,2436,0.15,3,95.08,85.61
2023-06-01,B0ZAG3X4EZ,0,High Buy Box,4735,5305,0.11,5,172.81,27.59
2023-07-01,B0ZAG3X4EZ,0,High Buy Box,1329,1892,0.0,0,0.0,26.76
2023-08-01,B0ZAG3X4EZ,0,Low Buy Box,1449,1765,2.42,35,1485.13,26.51
2023-09-01,B0ZAG3X4EZ,0,High Buy Box,977,1341,0.2,2,50.61,39.47
2023-10-01,B0ZAG3X4EZ,0,High Buy Box,2888,3891,0.52,15,455.08,37.88
2023-11-01,B0ZAG3X4EZ,0,Low Buy Box,6602,7542,0.26,17,605.82,26.95
2023-12-01,B0ZAG3X4EZ,0,High Buy Box,763,863,4.19,32,1513.73,30.18
2024-01-01,B0ZAG3X4EZ,0,Low Buy Box,3955,4892,1.21,48,814.6,67.38
2022-04-01,B0DAKE7X5D,0,High Buy Box,6891,9586,0.04,3,162.91,57.73
2022-05-01,B0DAKE7X5D,0,High Buy Box,2196,2448,1.82,40,2347.14,13.75
2022-06-01,B0DAKE7X5D,0,Low Buy Box,590,669,3.73,22,1058.1,85.5
2022-07-01,B0DAKE7X5D,0,High Buy Box,2799,3254,1.04,29,1058.96,31.88
2022-08-01,B0DAKE7X5D,0,Low Buy Box,1043,1517,1.92,20,517.29,31.52
2022-09-01,B0DAKE7X5D,0,High Buy Box,5996,7325,0.23,14,458.08,87.87
2022-10-01,B0DAKE7X5D,0,High Buy Box,967,1438,9.1,88,2367.46,27.43
2022-11-01,B0DAKE7X5D,0,High Buy Box,174,217,0.57,1,13.4,44.8
2022-12-01,B0DAKE7X5D,0,Low Buy Box,1094,1437,1.01,11,265.77,56.34
2023-01-01,B0DAKE7X5D,0,Low Buy Box,111,156,2.7,3,117.85,19.4
2023-02-01,B0DAKE7X5D,0,Low Buy Box,2971,3795,0.67,20,731.49,61.26
2023-03-01,B0DAKE7X5D,0,Low Buy Box,1681,2466,1.43,24,540.79,75.43
2023-04-01,B0DAKE7X5D,0,Low Buy Box,127,139,51.18,65,1104.41,22.16
2023-05-01,B0DAKE7X5D,0,Low Buy Box,684,885,1.17,8,244.04,55.61
2023-06-01,B0DAKE7X5D,0,High Buy Box,3106,4762,1.55,48,2676.35,37.66
2023-07-01,B0DAKE7X5D,0,Low Buy Box,1139,1459,0.97,11,518.19,74.7
2023-08-01,B0DAKE7X5D,0,High Buy Box,2535,2705,3.71,94,3970.37,44.77
2023-09-01,B0DAKE7X5D,0,Low Buy Box,3739,3954,0.43,16,553.95,9.96
2023-10-01,B0DAKE7X5D,0,Low Buy Box,5567,6713,0.43,24,1258.9,59.26
2023-11-01,B0DAKE7X5D,0,High Buy Box,260,282,0.38,1,26.98,32.84
2023-12-01,B0DAKE7X5D,0,Low Buy Box,1355,1922,0.22,3,78.11,33.59
2024-01-01,B0DAKE7X5D,0,Low Buy Box,509,690,5.11,26,1259.61,76.03
2022-04-01,B0W56LXPED,1,High Buy Box,3441,4000,0.49,17,370.22,27.62
2022-05-01,B0W56LXPED,1,Low Buy Box,648,992,5.86,38,1700.11,37.65
2022-06-01,B0W56LXPED,1,Low Buy Box,6689,9656,0.01,1,32.36,91.2
2022-07-01,B0W56LXPED,1,Low Buy Box,421,567,8.55,36,954.45,17.77
2022-08-01,B0W56LXPED,1,Low Buy Box,183,251,7.1,13,693.56,41.36
2022-09-01,B0W56LXPED,1,High Buy Box,4343,6442,1.36,59,882.57,41.96
2022-10-01,B0W56LXPED,1,Low Buy Box,3188,4489,0.69,22,461.1,62.67
2022-11-01,B0W56LXPED,1,Low Buy Box,2073,3112,0.14,3,97.56,63.03
2022-12-01,B0W56LXPED,1,High Buy Box,2851,3509,0.77,22,761.75,38.48
2023-01-01,B0W56LXPED,1,High Buy Box,3611,4491,0.19,7,394.6,16.47
2023-02-01,B0W56LXPED,1,High Buy Box,5978,7578,0.28,17,370.62,45.41
2023-03-01,B0W56LXPED,1,Low Buy Box,1675,1969,1.31,22,712.49,68.11
2023-04-01,B0W56LXPED,1,Low Buy Box,5931,7626,0.12,7,304.56,12.75
2023-05-01,B0W56LXPED,1,Low Buy Box,7646,9820,0.58,44,784.18,8.32
2023-06-01,B0W56LXPED,1,High Buy Box,1430,1715,2.94,42,692.19,60.18
2023-07-01,B0W56LXPED,1,Low Buy Box,1112,1380,0.27,3,129.8,52.95
2023-08-01,B0W56LXPED,1,Low Buy Box,370,452,4.86,18,353.72,24.27
2023-09-01,B0W56LXPED,1,Low Buy Box,546,821,1.83,10,513.14,24.77
2023-10-01,B0W56LXPED,1,High Buy Box,802,1166,0.62,5,243.35,56.37
2023-11-01,B0W56LXPED,1,Low Buy Box,559,772,0.0,0,0.0,64.69
2023-12-01,B0W56LXPED,1,High Buy Box,1710,2621,0.76,13,277.84,-0.01
2024-01-01,B0W56LXPED,1,Low Buy Box,1294,1555,0.93,12,326.14,38.44
2022-04-01,B02LVLW0YH,0,High Buy Box,7055,10408,0.54,38,1703.58,79.67
2022-05-01,B02LVLW0YH,0,High Buy Box,1942,2657,0.21,4,135.81,58.12
2022-06-01,B02LVLW0YH,0,High Buy Box,6382,6759,0.22,14,609.44,24.56
2022-07-01,B02LVLW0YH,0,Low Buy Box,3379,3904,1.42,48,1639.44,8.47
2022-08-01,B02LVLW0YH,0,Low Buy Box,1137,1652,2.11,24,342.38,21.45
2022-09-01,B02LVLW0YH,0,Low Buy Box,362,439,9.94,36,913.4,40.19
2022-10-01,B02LVLW0YH,0,Low Buy Box,102,128,19.61,20,707.15,57.46
2022-11-01,B02LVLW0YH,0,Low Buy Box,2672,3715,2.1,56,2758.94,45.12
2022-12-01,B02LVLW0YH,0,Low Buy Box,6020,6926,0.1,6,269.54,50.25
2023-01-01,B02LVLW0YH,0,High Buy Box,1671,2429,0.9,15,347.24,37.41
2023-02-01,B02LVLW0YH,0,Low Buy Box,342,500,5.85,20,503.56,60.45
2023-03-01,B02LVLW0YH,0,Low Buy Box,7045,9881,0.17,12,591.11,57.48
2023-04-01,B02LVLW0YH,0,Low Buy Box,1356,1894,0.22,3,177.05,55.7
2023-05-01,B02LVLW0YH,0,High Buy Box,2157,2926,0.93,20,630.29,46.78
2023-06-01,B02LVLW0YH,0,High Buy Box,1741,2155,0.4,7,266.32,11.76
2023-07-01,B02LVLW0YH,0,Low Buy Box,832,974,1.2,10,201.71,82.13
2023-08-01,B02LVLW0YH,0,High Buy Box,1151,1621,1.22,14,333.39,41.41
2023-09-01,B02LVLW0YH,0,Low Buy Box,1226,1619,1.71,21,838.34,17.89
2023-10-01,B02LVLW0YH,0,Low Buy Box,2186,2707,0.05,1,28.58,12.99
2023-11-01,B02LVLW0YH,0,Low Buy Box,1264,1437,2.53,32,664.21,86.56
2023-12-01,B02LVLW0YH,0,High Buy Box,1613,2318,1.3,21,1142.3,77.5
2024-01-01,B02LVLW0YH,0,Low Buy Box,276,348,13.77,38,1093.84,13.0
2022-04-01,B0LB4H4BVA,0,High Buy Box,527,658,0.95,5,161.34,13.12
2022-05-01,B0LB4H4BVA,0,Low Buy Box,3659,4177,0.08,3,98.09,46.25
2022-06-01,B0LB4H4BVA,0,Low Buy Box,266,356,4.14,11,436.73,71.29
2022-07-01,B0LB4H4BVA,0,Low Buy Box,2047,2475,1.76,36,1416.96,46.86
2022-08-01,B0LB4H4BVA,0,Low Buy Box,3440,5327,0.61,21,764.07,83.23
2022-09-01,B0LB4H4BVA,0,High Buy Box,1104,1531,0.36,4,153.25,28.69
2022-10-01,B0LB4H4BVA,0,Low Buy Box,1207,1651,1.57,19,994.23,40.33
2022-11-01,B0LB4H4BVA,0,Low Buy Box,1770,2199,0.96,17,264.26,34.16
2022-12-01,B0LB4H4BVA,0,High Buy Box,265,302,9.06,24,818.62,60.25
2023-01-01,B0LB4H4BVA,0,Low Buy Box,1007,1176,0.79,8,406.57,83.34
2023-02-01,B0LB4H4BVA,0,Low Buy Box,2228,2602,1.89,42,2408.75,40.86
2023-03-01,B0LB4H4BVA,0,Low Buy Box,214,252,4.21,9,220.71,23.95
2023-04-01,B0LB4H4BVA,0,Low Buy Box,4173,5091,1.34,56,1538.15,15.18
2023-05-01,B0LB4H4BVA,0,Low Buy Box,2554,2806,0.86,22,1355.84,43.77
2023-06-01,B0LB4H4BVA,0,Low Buy Box,304,421,1.32,4,188.74,90.8
2023-07-01,B0LB4H4BVA,0,High Buy Box,4234,4506,0.73,31,721.46,52.88
2023-08-01,B0LB4H4BVA,0,High Buy Box,568,614,4.23,24,650.41,46.46
2023-09-01,B0LB4H4BVA,0,Low Buy Box,906,1249,0.22,2,59.33,56.49
2023-10-01,B0LB4H4BVA,0,High Buy Box,1281,1811,3.9,50,2088.14,46.8
2023-11-01,B0LB4H4BVA,0,Low Buy Box,1217,1865,0.9,11,413.93,50.66
2023-12-01,B0LB4H4BVA,0,High Buy Box,687,810,2.77,19,261.45,39.43
2024-01-01,B0LB4H4BVA,0,Low Buy Box,4596,6791,0.91,42,2167.85,24.25
2022-04-01,B0V33TYWGY,0,Low Buy Box,4018,4576,0.1,4,171.68,11.57
2022-05-01,B0V33TYWGY,0,Low Buy Box,2173,2762,0.92,20,930.28,85.06
2022-06-01,B0V33TYWGY,0,Low Buy Box,2507,3380,0.16,4,196.67,61.73
2022-07-01,B0V33TYWGY,0,High Buy Box,2565,3344,0.47,12,490.28,96.66
2022-08-01,B0V33TYWGY,0,Low Buy Box,148,213,4.73,7,223.44,68.65
2022-09-01,B0V33TYWGY,0,High Buy Box,3608,4522,1.69,61,3602.98,26.92
