report_date,child_asin,ppc_product,sessions_total_B2C,page_views_total_B2C,unit_session_percentage_B2C,units_ordered_B2C,ordered_product_sales_B2C,featured_offer_buy_box_percentage_B2C,segment,buy_box_group3
2023-03-01,B0BRHVEWV2,0,1168,1345,0.43,5,155.5,35.94,B2C,High Buy Box
2023-04-01,B0BRHVEWV2,0,2766,3845,0.14,4,91.22,37.29,B2C,Low Buy Box
2023-05-01,B0BRHVEWV2,0,1379,1986,1.45,20,308.57,42.47,B2C,Low Buy Box
2023-06-01,B0BRHVEWV2,0,771,993,0.0,0,0.0,11.96,B2C,Low Buy Box
2023-07-01,B0BRHVEWV2,0,1537,1901,1.3,20,980.75,28.75,B2C,High Buy Box
2023-08-01,B0BRHVEWV2,0,1150,1676,0.26,3,171.54,71.82,B2C,Low Buy Box
2023-09-01,B0BRHVEWV2,0,1733,2085,0.06,1,19.72,4.82,B2C,Low Buy Box
2023-10-01,B0BRHVEWV2,0,1864,2547,4.13,77,2622.78,74.15,B2C,Low Buy Box
2023-11-01,B0BRHVEWV2,0,467,496,0.64,3,141.77,30.3,B2C,Low Buy Box
2023-12-01,B0BRHVEWV2,0,1027,1285,1.85,19,329.92,24.73,B2C,Low Buy Box
2024-01-01,B0BRHVEWV2,0,208,219,9.13,19,1003.1,30.35,B2C,High Buy Box
2022-04-01,B0A9ZVMRCN,0,3150,3916,0.1,3,105.84,24.35,B2C,Low Buy Box
2022-05-01,B0A9ZVMRCN,0,602,878,1.5,9,159.85,2.49,B2C,Low Buy Box
2022-06-01,B0A9ZVMRCN,0,2294,3071,0.57,13,264.03,32.09,B2C,Low Buy Box
2022-07-01,B0A9ZVMRCN,0,460,509,0.43,2,96.19,41.55,B2C,Low Buy Box
2022-08-01,B0A9ZVMRCN,0,306,376,1.63,5,163.1,12.14,B2C,High Buy Box
2022-09-01,B0A9ZVMRCN,0,4923,5739,0.53,26,887.31,4.21,B2C,Low Buy Box
2022-10-01,B0A9ZVMRCN,0,776,1175,2.32,18,521.84,48.78,B2C,Low Buy Box
2022-11-01,B0A9ZVMRCN,0,8918,13344,0.53,47,1296.51,98.94,B2C,Low Buy Box
2022-12-01,B0A9ZVMRCN,0,2626,2879,0.08,2,75.48,69.94,B2C,Low Buy Box
2023-01-01,B0A9ZVMRCN,0,162,229,4.94,8,322.69,87.65,B2C,Low Buy Box
2023-02-01,B0A9ZVMRCN,0,2114,2773,0.52,11,585.16,-0.89,B2C,High Buy Box
2023-03-01,B0A9ZVMRCN,0,9326,10802,0.15,14,596.47,64.5,B2C,Low Buy Box
2023-04-01,B0A9ZVMRCN,0,6071,7402,0.35,21,1023.85,57.33,B2C,Low Buy Box
2023-05-01,B0A9ZVMRCN,0,4355,6380,0.14,6,318.25,21.85,B2C,Low Buy Box
2023-06-01,B0A9ZVMRCN,0,2481,3550,0.36,9,202.49,95.38,B2C,Low Buy Box
2023-07-01,B0A9ZVMRCN,0,4741,6434,0.67,32,1704.9,60.38,B2C,Low Buy Box
2023-08-01,B0A9ZVMRCN,0,1356,1565,0.52,7,377.23,58.26,B2C,Low Buy Box
2023-09-01,B0A9ZVMRCN,0,732,905,2.19,16,577.22,11.57,B2C,Low Buy Box
2023-10-01,B0A9ZVMRCN,0,142,202,33.1,47,714.21,14.06,B2C,High Buy Box
2023-11-01,B0A9ZVMRCN,0,3630,4676,0.52,19,871.81,69.27,B2C,Low Buy Box
2023-12-01,B0A9ZVMRCN,0,603,739,2.32,14,813.27,-5.16,B2C,Low Buy Box
2024-01-01,B0A9ZVMRCN,0,1872,2476,0.43,8,365.03,-6.98,B2C,High Buy Box
2022-04-01,B041NJFY13,0,5452,7389,0.24,13,777.56,72.23,B2C,Low Buy Box
2022-05-01,B041NJFY13,0,282,406,10.99,31,1086.67,63.25,B2C,High Buy Box
2022-06-01,B041NJFY13,0,1961,2186,0.15,3,116.14,48.51,B2C,Low Buy Box
2022-07-01,B041NJFY13,0,2680,4027,0.37,10,306.56,60.4,B2C,Low Buy Box
2022-08-01,B041NJFY13,0,677,1008,1.18,8,430.69,35.06,B2C,Low Buy Box
2022-09-01,B041NJFY13,0,1787,2032,0.56,10,610.56,96.6,B2C,High Buy Box
2022-10-01,B041NJFY13,0,202,279,8.91,18,620.89,66.39,B2C,Low Buy Box
2022-11-01,B041NJFY13,0,4250,5847,0.14,6,250.79,99.15,B2C,Low Buy Box
2022-12-01,B041NJFY13,0,1995,2651,1.25,25,1412.63,90.47,B2C,Low Buy Box
2023-01-01,B041NJFY13,0,397,481,15.87,63,3056.54,32.13,B2C,Low Buy Box
2023-02-01,B041NJFY13,0,2445,3613,0.2,5,168.42,44.02,B2C,High Buy Box
2023-03-01,B041NJFY13,0,341,465,7.62,26,953.5,12.45,B2C,Low Buy Box
2023-04-01,B041NJFY13,0,1977,2858,0.05,1,46.89,22.81,B2C,Low Buy Box
2023-05-01,B041NJFY13,0,1745,2192,3.32,58,2552.98,9.02,B2C,Low Buy Box
2023-06-01,B041NJFY13,0,4520,6106,0.69,31,911.71,87.77,B2C,Low Buy Box
2023-07-01,B041NJFY13,0,3286,4317,0.0,0,0.0,30.1,B2C,Low Buy Box
2023-08-01,B041NJFY13,0,912,1143,0.0,0,0.0,1.78,B2C,Low Buy Box
2023-09-01,B041NJFY13,0,762,1096,0.92,7,415.76,72.61,B2C,Low Buy Box
2023-10-01,B041NJFY13,0,598,758,0.0,0,0.0,75.36,B2C,Low Buy Box
2023-11-01,B041NJFY13,0,370,413,4.86,18,1013.65,57.6,B2C,Low Buy Box
2023-12-01,B041NJFY13,0,495,746,18.59,92,5362.52,0.06,B2C,High Buy Box
2024-01-01,B041NJFY13,0,3171,4855,1.77,56,2812.98,56.24,B2C,Low Buy Box
2022-04-01,B07255AJWZ,0,120,141,14.17,17,937.32,92.68,B2C,Low Buy Box
2022-05-01,B07255AJWZ,0,731,914,1.09,8,194.14,30.73,B2C,Low Buy Box
2022-06-01,B07255AJWZ,0,474,729,2.53,12,279.03,-3.28,B2C,Low Buy Box
2022-07-01,B07255AJWZ,0,1696,2560,4.36,74,3819.02,57.96,B2C,Low Buy Box
2022-08-01,B07255AJWZ,0,2398,3514,1.54,37,1585.58,81.59,B2C,Low Buy Box
2022-09-01,B07255AJWZ,0,2605,3977,0.5,13,247.18,14.55,B2C,Low Buy Box
2022-10-01,B07255AJWZ,0,6476,7567,0.08,5,94.53,7.76,B2C,Low Buy Box
2022-11-01,B07255AJWZ,0,432,541,2.31,10,264.23,85.13,B2C,Low Buy Box
2022-12-01,B07255AJWZ,0,1728,2406,0.64,11,414.3,66.3,B2C,Low Buy Box
2023-01-01,B07255AJWZ,0,213,257,2.82,6,286.83,17.77,B2C,Low Buy Box
2023-02-01,B07255AJWZ,0,1843,2718,0.0,0,0.0,56.29,B2C,Low Buy Box
2023-03-01,B07255AJWZ,0,2060,3120,0.1,2,98.65,-0.0,B2C,Low Buy Box
2023-04-01,B07255AJWZ,0,1307,1382,1.07,14,826.34,52.67,B2C,Low Buy Box
2023-05-01,B07255AJWZ,0,102,146,22.55,23,1395.98,0.46,B2C,Low Buy Box
2023-06-01,B07255AJWZ,0,83,107,14.46,12,409.33,63.35,B2C,Low Buy Box
2023-07-01,B07255AJWZ,0,1718,2217,0.93,16,738.64,22.64,B2C,Low Buy Box
2023-08-01,B07255AJWZ,0,1531,2002,1.76,27,975.87,36.3,B2C,High Buy Box
2023-09-01,B07255AJWZ,0,593,628,1.35,8,406.8,65.18,B2C,Low Buy Box
2023-10-01,B07255AJWZ,0,1002,1223,0.7,7,190.95,44.42,B2C,High Buy Box
2023-11-01,B07255AJWZ,0,3152,3354,0.92,29,1072.75,29.38,B2C,High Buy Box
2023-12-01,B07255AJWZ,0,3025,4001,0.0,0,0.0,69.59,B2C,Low Buy Box
2024-01-01,B07255AJWZ,0,1375,1727,0.29,4,100.18,42.93,B2C,High Buy Box
2022-04-01,B097RQ7ZZ2,0,492,524,10.37,51,1474.4,76.83,B2C,Low Buy Box
2022-05-01,B097RQ7ZZ2,0,88,124,7.95,7,202.88,58.34,B2C,Low Buy Box
2022-06-01,B097RQ7ZZ2,0,2497,3812,0.08,2,58.11,66.23,B2C,Low Buy Box
2022-07-01,B097RQ7ZZ2,0,3910,5549,0.13,5,265.92,30.8,B2C,Low Buy Box
2022-08-01,B097RQ7ZZ2,0,2045,2905,1.08,22,432.31,47.64,B2C,High Buy Box
2022-09-01,B097RQ7ZZ2,0,1584,2306,0.19,3,96.65,24.84,B2C,Low Buy Box
2022-10-01,B097RQ7ZZ2,0,4088,5410,0.2,8,210.28,37.61,B2C,Low Buy Box
2022-11-01,B097RQ7ZZ2,0,1977,2330,0.66,13,429.31,85.11,B2C,Low Buy Box
2022-12-01,B097RQ7ZZ2,0,4920,5326,0.12,6,153.58,61.5,B2C,Low Buy Box
2023-01-01,B097RQ7ZZ2,0,375,408,5.87,22,693.9,84.68,B2C,Low Buy Box
2023-02-01,B097RQ7ZZ2,0,1597,1769,0.19,3,139.58,86.19,B2C,Low Buy Box
2023-03-01,B097RQ7ZZ2,0,184,238,9.78,18,684.78,81.51,B2C,High Buy Box
2023-04-01,B097RQ7ZZ2,0,3864,4181,1.89,73,4004.49,33.15,B2C,Low Buy Box
2023-05-01,B097RQ7ZZ2,0,1064,1385,3.67,39,1551.72,63.04,B2C,Low Buy Box
2023-06-01,B097RQ7ZZ2,0,339,431,2.65,9,316.6,84.15,B2C,Low Buy Box
2023-07-01,B097RQ7ZZ2,0,1107,1633,2.44,27,1195.8,5.03,B2C,Low Buy Box
2023-08-01,B097RQ7ZZ2,0,451,585,1.33,6,144.17,99.66,B2C,Low Buy Box
2023-09-01,B097RQ7ZZ2,0,4991,6257,0.0,0,0.0,-5.76,B2C,Low Buy Box
2023-10-01,B097RQ7ZZ2,0,434,578,0.69,3,131.81,39.58,B2C,Low Buy Box
2023-11-01,B097RQ7ZZ2,0,7360,9491,0.14,10,177.24,30.33,B2C,Low Buy Box
2023-12-01,B097RQ7ZZ2,0,388,489,12.63,49,3005.0,26.76,B2C,Low Buy Box
2024-01-01,B097RQ7ZZ2,0,240,343,2.5,6,142.53,34.02,B2C,Low Buy Box
2022-04-01,B0A50MEGHW,1,660,960,0.15,1,16.43,62.69,B2C,Low Buy Box
2022-05-01,B0A50MEGHW,1,2465,3068,1.78,44,1071.94,12.64,B2C,Low Buy Box
2022-06-01,B0A50MEGHW,1,2172,2491,0.46,10,284.12,12.48,B2C,Low Buy Box
2022-07-01,B0A50MEGHW,1,4122,4523,0.17,7,141.43,78.68,B2C,Low Buy Box
2022-08-01,B0A50MEGHW,1,222,247,2.25,5,291.71,55.03,B2C,Low Buy Box
2022-09-01,B0A50MEGHW,1,199,233,8.54,17,743.62,78.93,B2C,Low Buy Box
2022-10-01,B0A50MEGHW,1,9779,15124,0.22,22,448.72,20.02,B2C,Low Buy Box
2022-11-01,B0A50MEGHW,1,1089,1474,2.39,26,1381.82,62.08,B2C,Low Buy Box
2022-12-01,B0A50MEGHW,1,703,851,2.13,15,727.3,86.02,B2C,High Buy Box
2023-01-01,B0A50MEGHW,1,880,1146,1.36,12,202.68,61.19,B2C,Low Buy Box
2023-02-01,B0A50MEGHW,1,2384,3419,0.25,6,187.24,16.19,B2C,High Buy Box
2023-03-01,B0A50MEGHW,1,2265,2744,0.35,8,222.02,52.06,B2C,Low Buy Box
2023-04-01,B0A50MEGHW,1,137,206,18.98,26,1372.43,58.11,B2C,High Buy Box
2023-05-01,B0A50MEGHW,1,3880,5582,0.18,7,150.24,-5.14,B2C,Low Buy Box
2023-06-01,B0A50MEGHW,1,571,627,1.05,6,358.9,95.8,B2C,Low Buy Box
2023-07-01,B0A50MEGHW,1,263,300,7.6,20,791.01,58.12,B2C,High Buy Box
2023-08-01,B0A50MEGHW,1,328,467,3.05,10,293.25,90.19,B2C,Low Buy Box
2023-09-01,B0A50MEGHW,1,505,647,1.39,7,183.59,84.92,B2C,Low Buy Box
2023-10-01,B0A50MEGHW,1,161,169,13.66,22,1199.59,73.99,B2C,Low Buy Box
2023-11-01,B0A50MEGHW,1,487,716,7.6,37,2083.81,62.35,B2C,High Buy Box
2023-12-01,B0A50MEGHW,1,1427,1606,1.26,18,395.65,52.22,B2C,Low Buy Box
2024-01-01,B0A50MEGHW,1,4699,6102,0.6,28,902.86,-4.01,B2C,High Buy Box
2022-04-01,B07RB4RCSV,1,5730,8658,0.02,1,37.77,30.6,B2C,Low Buy Box
2022-05-01,B07RB4RCSV,1,204,232,0.49,1,46.43,24.91,B2C,Low Buy Box
2022-06-01,B07RB4RCSV,1,208,267,3.85,8,309.51,3.12,B2C,Low Buy Box
2022-07-01,B07RB4RCSV,1,2250,2530,0.93,21,1275.76,66.84,B2C,Low Buy Box
2022-08-01,B07RB4RCSV,1,2180,3307,0.32,7,360.58,95.89,B2C,Low Buy Box
2022-09-01,B07RB4RCSV,1,3218,4680,0.99,32,1646.9,65.46,B2C,Low Buy Box
2022-10-01,B07RB4RCSV,1,4501,5856,0.11,5,296.04,4.85,B2C,Low Buy Box
2022-11-01,B07RB4RCSV,1,524,726,3.82,20,575.8,14.29,B2C,Low Buy Box
2022-12-01,B07RB4RCSV,1,1099,1158,1.27,14,657.41,90.86,B2C,Low Buy Box
2023-01-01,B07RB4RCSV,1,3914,4494,0.03,1,48.48,20.19,B2C,Low Buy Box
2023-02-01,B07RB4RCSV,1,121,146,0.0,0,0.0,10.07,B2C,High Buy Box
2023-03-01,B07RB4RCSV,1,2288,2770,1.62,37,2022.64,74.52,B2C,Low Buy Box
2023-04-01,B07RB4RCSV,1,916,1204,4.04,37,2037.98,-4.83,B2C,Low Buy Box
2023-05-01,B07RB4RCSV,1,2277,2631,0.04,1,42.23,64.46,B2C,Low Buy Box
2023-06-01,B07RB4RCSV,1,774,1158,3.62,28,786.79,43.07,B2C,Low Buy Box
2023-07-01,B07RB4RCSV,1,111,133,26.13,29,1389.93,74.77,B2C,Low Buy Box
2023-08-01,B07RB4RCSV,1,825,898,0.85,7,425.03,51.47,B2C,Low Buy Box
2023-09-01,B07RB4RCSV,1,206,217,6.31,13,425.14,80.35,B2C,Low Buy Box
2023-10-01,B07RB4RCSV,1,571,605,0.18,1,19.41,13.6,B2C,Low Buy Box
2023-11-01,B07RB4RCSV,1,3483,4790,0.11,4,91.08,-4.91,B2C,Low Buy Box
2023-12-01,B07RB4RCSV,1,1310,1456,1.3,17,258.13,12.14,B2C,Low Buy Box
2024-01-01,B07RB4RCSV,1,10,15,130.0,13,702.53,61.26,B2C,Low Buy Box
2022-04-01,B02XXM3ZSG,0,1373,2008,0.22,3,138.79,13.23,B2C,Low Buy Box
2022-05-01,B02XXM3ZSG,0,113,147,0.88,1,55.57,6.51,B2C,Low Buy Box
2022-06-01,B02XXM3ZSG,0,176,189,48.86,86,1543.14,35.73,B2C,Low Buy Box
2022-07-01,B02XXM3ZSG,0,207,258,0.97,2,56.71,27.67,B2C,High Buy Box
2022-08-01,B02XXM3ZSG,0,10,13,0.0,0,0.0,19.5,B2C,Low Buy Box
2022-09-01,B02XXM3ZSG,0,2384,2770,1.55,37,2221.33,11.28,B2C,Low Buy Box
2022-10-01,B02XXM3ZSG,0,883,987,1.7,15,407.26,92.89,B2C,Low Buy Box
2022-11-01,B02XXM3ZSG,0,156,168,26.92,42,1303.31,35.12,B2C,Low Buy Box
2022-12-01,B02XXM3ZSG,0,1453,1840,0.76,11,606.68,40.16,B2C,Low Buy Box
2023-01-01,B02XXM3ZSG,0,739,999,0.81,6,335.56,67.28,B2C,Low Buy Box
2023-02-01,B02XXM3ZSG,0,295,382,0.34,1,19.15,16.57,B2C,Low Buy Box
2023-03-01,B02XXM3ZSG,0,2620,3337,0.0,0,0.0,30.31,B2C,Low Buy Box
2023-04-01,B02XXM3ZSG,0,1201,1780,3.75,45,2138.09,48.79,B2C,Low Buy Box
2023-05-01,B02XXM3ZSG,0,691,974,2.17,15,327.41,58.79,B2C,Low Buy Box
2023-06-01,B02XXM3ZSG,0,1422,1723,0.49,7,251.85,86.75,B2C,High Buy Box
2023-07-01,B02XXM3ZSG,0,2835,3293,0.67,19,915.42,54.87,B2C,Low Buy Box
2023-08-01,B02XXM3ZSG,0,1851,2086,3.46,64,2130.85,16.51,B2C,Low Buy Box
2023-09-01,B02XXM3ZSG,0,2020,2802,0.2,4,71.84,43.04,B2C,Low Buy Box
2023-10-01,B02XXM3ZSG,0,1610,2439,0.5,8,238.75,39.72,B2C,Low Buy Box
2023-11-01,B02XXM3ZSG,0,858,935,0.35,3,94.51,14.63,B2C,Low Buy Box
2023-12-01,B02XXM3ZSG,0,3437,4449,0.06,2,71.84,41.87,B2C,Low Buy Box
2024-01-01,B02XXM3ZSG,0,3665,4400,0.03,1,40.8,79.05,B2C,Low Buy Box
2022-04-01,B03PTCTATS,0,8766,12064,0.41,36,655.92,21.0,B2C,Low Buy Box
2022-05-01,B03PTCTATS,0,13260,19311,0.38,51,2992.19,28.87,B2C,Low Buy Box
2022-06-01,B03PTCTATS,0,979,1362,0.51,5,98.21,75.78,B2C,Low Buy Box
2022-07-01,B03PTCTATS,0,2591,3320,0.19,5,84.4,83.46,B2C,High Buy Box
2022-08-01,B03PTCTATS,0,2637,3506,2.24,59,2145.26,29.2,B2C,Low Buy Box
2022-09-01,B03PTCTATS,0,662,788,3.63,24,568.19,40.73,B2C,High Buy Box
2022-10-01,B03PTCTATS,0,92,110,3.26,3,157.73,-3.94,B2C,Low Buy Box
2022-11-01,B03PTCTATS,0,53,65,0.0,0,0.0,23.02,B2C,High Buy Box
2022-12-01,B03PTCTATS,0,1,1,1200.0,12,741.7,-7.13,B2C,Low Buy Box
2023-01-01,B03PTCTATS,0,10231,15634,0.11,11,486.05,88.3,B2C,Low Buy Box
2023-02-01,B03PTCTATS,0,3487,5037,0.4,14,839.11,72.99,B2C,Low Buy Box
2023-03-01,B03PTCTATS,0,6003,6551,0.07,4,66.03,11.75,B2C,Low Buy Box
2023-04-01,B03PTCTATS,0,397,460,4.79,19,678.48,15.97,B2C,Low Buy Box
2023-05-01,B03PTCTATS,0,5665,8395,0.49,28,558.59,38.48,B2C,Low Buy Box
2023-06-01,B03PTCTATS,0,129,164,15.5,20,1176.42,46.35,B2C,Low Buy Box
2023-07-01,B03PTCTATS,0,1554,1843,0.0,0,0.0,-2.17,B2C,Low Buy Box
2023-08-01,B03PTCTATS,0,1317,1493,1.75,23,1256.33,49.58,B2C,High Buy Box
2023-09-01,B03PTCTATS,0,2285,3299,0.09,2,105.34,73.27,B2C,Low Buy Box
2023-10-01,B03PTCTATS,0,1197,1496,1.34,16,757.42,82.35,B2C,Low Buy Box
2023-11-01,B03PTCTATS,0,4171,5311,0.19,8,199.87,78.65,B2C,Low Buy Box
2023-12-01,B03PTCTATS,0,1359,1642,1.1,15,334.22,-6.95,B2C,Low Buy Box
2024-01-01,B03PTCTATS,0,3090,3836,0.06,2,110.51,88.72,B2C,Low Buy Box
2022-04-01,B0YZ9EZDMP,0,6019,6773,0.0,0,0.0,30.27,B2C,Low Buy Box
2022-05-01,B0YZ9EZDMP,0,758,1174,0.4,3,90.46,13.21,B2C,Low Buy Box
2022-06-01,B0YZ9EZDMP,0,762,1035,1.18,9,547.11,70.22,B2C,Low Buy Box
2022-07-01,B0YZ9EZDMP,0,724,1071,0.0,0,0.0,38.22,B2C,Low Buy Box
2022-08-01,B0YZ9EZDMP,0,2331,2818,0.43,10,531.82,15.79,B2C,Low Buy Box
2022-09-01,B0YZ9EZDMP,0,1281,1384,0.47,6,338.82,58.78,B2C,Low Buy Box
2022-10-01,B0YZ9EZDMP,0,1306,1846,0.38,5,276.65,-2.36,B2C,Low Buy Box
2022-11-01,B0YZ9EZDMP,0,1301,1784,1.38,18,852.93,4.67,B2C,Low Buy Box
2022-12-01,B0YZ9EZDMP,0,1899,2580,0.21,4,175.01,22.29,B2C,Low Buy Box
2023-01-01,B0YZ9EZDMP,0,68,78,0.0,0,0.0,76.27,B2C,Low Buy Box
2023-02-01,B0YZ9EZDMP,0,1204,1465,0.0,0,0.0,60.51,B2C,Low Buy Box
2023-03-01,B0YZ9EZDMP,0,1051,1465,2.66,28,1018.41,79.46,B2C,Low Buy Box
2023-04-01,B0YZ9EZDMP,0,3729,5162,0.64,24,819.27,-0.03,B2C,Low Buy Box
2023-05-01,B0YZ9EZDMP,0,180,194,1.67,3,130.2,1.57,B2C,Low Buy Box
2023-06-01,B0YZ9EZDMP,0,1561,1657,0.9,14,846.47,80.53,B2C,High Buy Box
2023-07-01,B0YZ9EZDMP,0,729,773,2.88,21,429.62,79.12,B2C,Low Buy Box
2023-08-01,B0YZ9EZDMP,0,1690,2009,0.95,16,722.15,65.29,B2C,High Buy Box
2023-09-01,B0YZ9EZDMP,0,6594,7487,0.06,4,213.06,93.83,B2C,Low Buy Box
2023-10-01,B0YZ9EZDMP,0,2115,2220,0.0,0,0.0,27.7,B2C,Low Buy Box
2023-11-01,B0YZ9EZDMP,0,723,1098,0.14,1,49.45,-1.93,B2C,Low Buy Box
2023-12-01,B0YZ9EZDMP,0,2202,3333,0.32,7,388.1,93.34,B2C,Low Buy Box
2024-01-01,B0YZ9EZDMP,0,2353,3402,1.32,31,1189.37,27.14,B2C,Low Buy Box
2022-04-01,B0QASKHKD0,0,961,1397,3.23,31,551.88,42.69,B2C,Low Buy Box
2022-05-01,B0QASKHKD0,0,1619,2480,0.56,9,192.48,63.44,B2C,Low Buy Box
2022-06-01,B0QASKHKD0,0,667,831,2.7,18,636.22,37.97,B2C,High Buy Box
2022-07-01,B0QASKHKD0,0,3941,5494,0.86,34,1339.06,70.05,B2C,Low Buy Box
2022-08-01,B0QASKHKD0,0,1762,1972,0.06,1,41.64,39.41,B2C,Low Buy Box
2022-09-01,B0QASKHKD0,0,453,489,0.0,0,0.0,62.24,B2C,Low Buy Box
2022-10-01,B0QASKHKD0,0,8539,11381,0.54,46,1309.42,86.13,B2C,Low Buy Box
2022-11-01,B0QASKHKD0,0,1515,2186,0.66,10,481.62,-7.67,B2C,Low Buy Box
2022-12-01,B0QASKHKD0,0,3165,3419,0.54,17,701.81,68.87,B2C,Low Buy Box
2023-01-01,B0QASKHKD0,0,3676,4799,0.16,6,349.75,-8.72,B2C,High Buy Box
2023-02-01,B0QASKHKD0,0,478,537,5.23,25,1384.22,93.89,B2C,Low Buy Box
2023-03-01,B0QASKHKD0,0,283,405,0.71,2,86.3,-6.27,B2C,Low Buy Box
2023-04-01,B0QASKHKD0,0,225,340,1.78,4,60.55,24.78,B2C,High Buy Box
2023-05-01,B0QASKHKD0,0,1982,2514,0.91,18,719.0,39.93,B2C,Low Buy Box
2023-06-01,B0QASKHKD0,0,572,643,0.7,4,247.96,70.04,B2C,Low Buy Box
2023-07-01,B0QASKHKD0,0,6570,9129,0.23,15,713.58,82.05,B2C,Low Buy Box
2023-08-01,B0QASKHKD0,0,711,986,2.11,15,641.06,70.43,B2C,High Buy Box
2023-09-01,B0QASKHKD0,0,7618,10598,0.12,9,259.97,85.27,B2C,Low Buy Box
2023-10-01,B0QASKHKD0,0,668,723,9.28,62,2668.59,60.09,B2C,Low Buy Box
2023-11-01,B0QASKHKD0,0,542,624,0.55,3,127.45,80.05,B2C,Low Buy Box
2023-12-01,B0QASKHKD0,0,1004,1103,0.1,1,25.7,45.07,B2C,Low Buy Box
2024-01-01,B0QASKHKD0,0,711,753,0.28,2,113.21,99.04,B2C,Low Buy Box
2022-04-01,B0Q3CDC72F,0,2582,2770,0.08,2,58.6,90.27,B2C,Low Buy Box
2022-05-01,B0Q3CDC72F,0,1704,2393,0.29,5,134.17,4.85,B2C,Low Buy Box
2022-06-01,B0Q3CDC72F,0,752,885,1.99,15,298.11,62.8,B2C,Low Buy Box
2022-07-01,B0Q3CDC72F,0,3000,4358,0.1,3,83.3,72.08,B2C,Low Buy Box
2022-08-01,B0Q3CDC72F,0,729,765,2.19,16,532.21,5.31,B2C,Low Buy Box
2022-09-01,B0Q3CDC72F,0,250,365,2.4,6,355.18,41.05,B2C,Low Buy Box
2022-10-01,B0Q3CDC72F,0,1357,1594,0.0,0,0.0,66.67,B2C,Low Buy Box
2022-11-01,B0Q3CDC72F,0,5589,6508,0.21,12,470.12,55.6,B2C,Low Buy Box
2022-12-01,B0Q3CDC72F,0,12748,19671,0.16,21,518.55,49.43,B2C,Low Buy Box
2023-01-01,B0Q3CDC72F,0,1696,2402,3.01,51,2263.34,11.69,B2C,Low Buy Box
2023-02-01,B0Q3CDC72F,0,1594,2314,1.82,29,729.22,-2.43,B2C,Low Buy Box
2023-03-01,B0Q3CDC72F,0,9728,14665,0.2,19,1051.79,71.99,B2C,Low Buy Box
2023-04-01,B0Q3CDC72F,0,5873,7065,1.5,88,5029.77,28.6,B2C,Low Buy Box
2023-05-01,B0Q3CDC72F,0,944,1154,0.0,0,0.0,-1.71,B2C,Low Buy Box
2023-06-01,B0Q3CDC72F,0,802,1066,2.74,22,1080.51,60.04,B2C,Low Buy Box
2023-07-01,B0Q3CDC72F,0,839,943,1.91,16,709.02,-4.47,B2C,Low Buy Box
2023-08-01,B0Q3CDC72F,0,2493,2728,2.05,51,2777.39,46.46,B2C,Low Buy Box
2023-09-01,B0Q3CDC72F,0,2128,2317,0.85,18,1113.51,21.88,B2C,Low Buy Box
2023-10-01,B0Q3CDC72F,0,8414,12459,0.14,12,214.53,1.76,B2C,Low Buy Box
2023-11-01,B0Q3CDC72F,0,2857,3555,0.35,10,445.48,-8.4,B2C,Low Buy Box
2023-12-01,B0Q3CDC72F,0,356,410,4.21,15,639.64,94.05,B2C,Low Buy Box
2024-01-01,B0Q3CDC72F,0,12,13,0.0,0,0.0,93.79,B2C,Low Buy Box
2022-04-01,B05S85AJV5,0,565,813,5.49,31,621.11,-1.15,B2C,Low Buy Box
2022-05-01,B05S85AJV5,0,1059,1612,1.51,16,269.59,29.62,B2C,Low Buy Box
2022-06-01,B05S85AJV5,0,521,801,4.22,22,1274.56,73.74,B2C,Low Buy Box
2022-07-01,B05S85AJV5,0,870,939,0.8,7,260.97,21.32,B2C,Low Buy Box
2022-08-01,B05S85AJV5,0,2455,3216,0.12,3,142.93,55.51,B2C,Low Buy Box
2022-09-01,B05S85AJV5,0,1335,1435,2.17,29,924.59,29.04,B2C,Low Buy Box
2022-10-01,B05S85AJV5,0,4746,6019,0.36,17,296.51,50.2,B2C,High Buy Box
2022-11-01,B05S85AJV5,0,848,1126,0.0,0,0.0,3.75,B2C,Low Buy Box
2022-12-01,B05S85AJV5,0,2205,3301,0.73,16,320.82,2.23,B2C,Low Buy Box
2023-01-01,B05S85AJV5,0,1194,1625,0.34,4,201.59,16.97,B2C,Low Buy Box
2023-02-01,B05S85AJV5,0,7277,10442,0.22,16,450.01,10.27,B2C,Low Buy Box
2023-03-01,B05S85AJV5,0,628,688,7.32,46,2516.56,43.06,B2C,Low Buy Box
2023-04-01,B05S85AJV5,0,2011,2743,0.75,15,259.09,95.66,B2C,Low Buy Box
2023-05-01,B05S85AJV5,0,3760,4299,0.56,21,574.18,41.19,B2C,Low Buy Box
2023-06-01,B05S85AJV5,0,573,682,4.54,26,481.47,10.35,B2C,Low Buy Box
2023-07-01,B05S85AJV5,0,1453,2030,1.03,15,215.34,1.5,B2C,Low Buy Box
2023-08-01,B05S85AJV5,0,2994,3454,0.67,20,1047.78,34.28,B2C,High Buy Box
2023-09-01,B05S85AJV5,0,598,716,2.84,17,879.08,68.53,B2C,Low Buy Box
2023-10-01,B05S85AJV5,0,393,596,2.54,10,161.16,-3.47,B2C,Low Buy Box
2023-11-01,B05S85AJV5,0,48,70,37.5,18,593.81,84.03,B2C,Low Buy Box
2023-12-01,B05S85AJV5,0,4423,4809,0.32,14,663.98,86.74,B2C,Low Buy Box
